,Name,ENV_DISCLOSURE_SCORE
408,OTC_BALDB,18.60465116
409,OTC_BARN,24.03100775
410,OTC_BAS,68.99224806
411,OTC_BBOX,20.15503876
412,OTC_BDEV,26.35658915
413,OTC_BEAN,14.72868217
414,OTC_BEI,55.03875969
415,OTC_BEZ,25.89285714
416,OTC_BHP,52.71317829
417,OTC_BIM,41.08527132
418,OTC_BIRG,15.17857143
419,OTC_BKG,25.58139535
420,OTC_BLND,44.96124031
421,OTC_BME,15.50387597
422,OTC_BMW,64.34108527
423,OTC_BN,48.8372093
424,OTC_BNR,37.20930233
425,OTC_BOL,46.51162791
426,OTC_BOL,56.58914729
427,OTC_BOSS,55.03875969
428,OTC_BP/,73.55371901
429,OTC_BRBY,28.125
430,OTC_BT/A,36.58536585
431,OTC_BVI,38.75968992
432,OTC_BWY,15.50387597
433,OTC_CA,37.20930233
434,OTC_CAST,43.41085271
435,OTC_CBG,25
436,OTC_CCH,70.54263566
437,OTC_CDI,50.3875969
438,OTC_CDR,8.527131783
439,OTC_CHR,37.98449612
440,OTC_CINE,15.50387597
441,OTC_CLN,55.03875969
442,OTC_CLNX,33.33333333
443,OTC_CMBN,22.32142857
444,OTC_CNHI,73.64341085
445,OTC_CNP,44.64285714
446,OTC_COFB,38.75968992
447,OTC_COLOB,45.73643411
448,OTC_COLR,17.82945736
449,OTC_CON,44.96124031
450,OTC_CPG,19.37984496
451,OTC_CPI,22.48062016
452,OTC_CPR,43.41085271
453,OTC_CRH,61.24031008
454,OTC_CS,45.53571429
455,OTC_CTEC,45.73643411
456,OTC_DAI,59.68992248
457,OTC_DBK,51.78571429
458,OTC_DCC,21.70542636
459,OTC_DG,39.53488372
460,OTC_DGE,51.9379845
461,OTC_DHER,3.100775194
462,OTC_DIA,36.43410853
463,OTC_DLG,21.42857143
464,OTC_DLN,45.73643411
465,OTC_DOM,24.80620155
466,OTC_DPH,14.72868217
467,OTC_DPLM,13.95348837
468,OTC_DPW,41.86046512
469,OTC_DTE,46.34146341
470,OTC_ECM,22.48062016
471,OTC_EDEN,47.28682171
472,OTC_EDP,62.79069767
473,OTC_EKTAB,9.302325581
474,OTC_ELIS,51.9379845
475,OTC_ELUXB,49.6124031
476,OTC_EMG,29.45736434
477,OTC_EN,38.75968992
478,OTC_ENEL,57.36434109
479,OTC_ENG,61.24031008
480,OTC_ENGI,51.1627907
481,OTC_ENTRA,41.08527132
482,OTC_ENX,37.98449612
483,OTC_EO,54.26356589
484,OTC_EOAN,46.51162791
485,OTC_EPIA,30.23255814
486,OTC_EQNR,59.50413223
487,OTC_ERF,13.17829457
488,OTC_ERICB,44.96124031
489,OTC_ESSITYB,47.28682171
490,OTC_ETL,15.50387597
491,OTC_EVD,4.651162791
492,OTC_EVK,62.79069767
493,OTC_EVO,2.325581395
494,OTC_EVR,51.9379845
495,OTC_EXO,13.17829457
496,OTC_EZJ,15.50387597
497,OTC_FABG,37.20930233
498,OTC_FBK,1.785714286
499,OTC_FCA,65.89147287
500,OTC_FERG,25.58139535
501,OTC_FGR,44.18604651
502,OTC_FHZN,40.31007752
503,OTC_FLTR,15.50387597
504,OTC_FORTUM,66.66666667
505,OTC_FPE3,10.85271318
506,OTC_FRA,42.63565891
507,OTC_FRE,24.03100775
508,OTC_FTI,2.325581395
509,OTC_G1A,34.10852713
510,OTC_GALE,31.78294574
511,OTC_GBLB,10.71428571
512,OTC_GET,34.10852713
513,OTC_GETIB,44.96124031
514,OTC_GFC,24.03100775
515,OTC_GFS,21.70542636
516,OTC_GJF,37.5
517,OTC_GLEN,60.46511628
518,OTC_GLJ,2.678571429
519,OTC_GLPG,6.976744186
520,OTC_GN,13.95348837
521,OTC_GNS,14.72868217
522,OTC_GPOR,41.86046512
523,OTC_GRG,29.16666667
524,OTC_GYC,30.23255814
525,OTC_HAS,17.05426357
526,OTC_HEIO,13.95348837
527,OTC_HELN,35.71428571
528,OTC_HEN3,58.91472868
529,OTC_HER,41.86046512
530,OTC_HEXAB,13.95348837
531,OTC_HIK,20.15503876
532,OTC_HL/,16.27906977
533,OTC_HLMA,18.60465116
534,OTC_HMB,43.75
535,OTC_HO,51.9379845
536,OTC_HOLMB,57.36434109
537,OTC_HOT,44.96124031
538,OTC_HPOLB,44.96124031
539,OTC_HSBA,41.07142857
540,OTC_HSV,9.302325581
541,OTC_HSX,20.53571429
542,OTC_HUH1V,51.9379845
543,OTC_HWDN,19.37984496
544,OTC_IAG,32.55813953
545,OTC_IBE,66.89655172
546,OTC_ICA,41.86046512
547,OTC_ICAD,43.41085271
548,OTC_ICP,17.85714286
549,OTC_IFX,54.26356589
550,OTC_IGG,11.62790698
551,OTC_IIA,28.68217054
552,OTC_ILD,24.80620155
553,OTC_IMB,38.75968992
554,OTC_IMI,20.93023256
555,OTC_INCH,23.95833333
556,OTC_INDUA,16.96428571
557,OTC_ING,42.63565891
558,OTC_INVEB,8.035714286
559,OTC_INVP,44.64285714
560,OTC_ITRK,29.45736434
561,OTC_ITX,52.08333333
562,OTC_JD/,32.29166667
563,OTC_JMAT,45.73643411
564,OTC_KESKOB,51.9379845
565,OTC_KGF,44.79166667
566,OTC_KINVB,21.42857143
567,OTC_KNEBV,56.58914729
568,OTC_KSP,21.70542636
569,OTC_KYG,17.05426357
570,OTC_LAND,49.6124031
571,OTC_LDO,55.03875969
572,OTC_LEG,26.35658915
573,OTC_LI,34.10852713
574,OTC_LIGHT,41.86046512
575,OTC_LISN,29.45736434
576,OTC_LLOY,48.21428571
577,OTC_LOGN,32.55813953
578,OTC_LONN,51.1627907
579,OTC_LOOMB,6.976744186
580,OTC_LPP,37.98449612
581,OTC_LSE,48.8372093
582,OTC_LUNDB,13.95348837
583,OTC_LUNE,56.19834711
584,OTC_LXS,51.1627907
585,OTC_MB,42.85714286
586,OTC_MC,64.58333333
587,OTC_MCRO,16.27906977
588,OTC_METSO,42.63565891
589,OTC_MF,20.15503876
590,OTC_MNDI,65.11627907
591,OTC_MONY,16.27906977
592,OTC_MOWI,36.43410853
593,OTC_MRK,57.36434109
594,OTC_MRO,20.93023256
595,OTC_MRW,37.98449612
596,OTC_MT,37.98449612
597,OTC_MUV2,60.71428571
598,OTC_NDA,33.92857143
599,OTC_NESTE,52.71317829
600,OTC_NEXI,24.10714286
601,OTC_NG/,42.63565891
602,OTC_NHY,57.36434109
603,OTC_NIBEB,59.68992248
604,OTC_NOVOB,34.10852713
605,OTC_NXT,48.95833333
606,OTC_OCDO,18.60465116
607,OTC_OMU,5.357142857
608,OTC_OMV,61.98347107
609,OTC_OR,59.68992248
610,OTC_ORK,50.3875969
611,OTC_ORP,29.45736434
612,OTC_ORSTED,56.58914729
613,OTC_PGHN,16.07142857
614,OTC_PHIA,57.36434109
615,OTC_PNN,26.35658915
616,OTC_POLY,58.13953488
617,OTC_PROX,42.63565891
618,OTC_PRU,44.64285714
619,OTC_PRY,45.73643411
620,OTC_PSN,27.90697674
621,OTC_PSON,44.96124031
622,OTC_PST,57.36434109
623,OTC_PUM,40.31007752
624,OTC_PZU,40.17857143
625,OTC_QIA,11.62790698
626,OTC_RAA,21.70542636
627,OTC_RAND,42.63565891
628,OTC_RB/,44.18604651
629,OTC_RBI,42.85714286
630,OTC_RCO,43.41085271
631,OTC_RDW,23.25581395
632,OTC_REC,45.73643411
633,OTC_REE,40.68965517
634,OTC_REL,41.86046512
635,OTC_REP,57.02479339
636,OTC_RF,58.92857143
637,OTC_RI,62.01550388
638,OTC_RIO,51.9379845
639,OTC_RMG,54.16666667
640,OTC_RMS,37.20930233
641,OTC_RNO,54.26356589
642,OTC_ROG,44.96124031
643,OTC_ROR,17.82945736
644,OTC_RR/,27.90697674
645,OTC_RWE,43.41085271
646,OTC_RYA,6.976744186
647,OTC_SAB,16.07142857
648,OTC_SAF,37.98449612
649,OTC_SALM,32.55813953
650,OTC_SAN,58.13953488
651,OTC_SAND,47.28682171
652,OTC_SAP,24.80620155
653,OTC_SBMO,38.75968992
654,OTC_SBRY,22.48062016
655,OTC_SCAB,49.6124031
656,OTC_SCHA,37.20930233
657,OTC_SCR,28.57142857
658,OTC_SDR,27.90697674
659,OTC_SEBA,50
660,OTC_SECUB,20.93023256
661,OTC_SESG,11.62790698
662,OTC_SGE,17.82945736
663,OTC_SGO,62.79069767
664,OTC_SGRE,52.71317829
665,OTC_SGSN,41.86046512
666,OTC_SHBA,42.85714286
667,OTC_SIE,54.26356589
668,OTC_SIG,24.03100775
669,OTC_SIM,13.17829457
670,OTC_SK,47.28682171
671,OTC_SKAB,32.55813953
672,OTC_SKFB,50.3875969
673,OTC_SKG,61.24031008
674,OTC_SLA,36.43410853
675,OTC_SLHN,42.85714286
676,OTC_SMDS,48.0620155
677,OTC_SMIN,20.93023256
678,OTC_SMWH,40.625
679,OTC_SN/,35.65891473
680,OTC_SOBI,6.976744186
681,OTC_SOLB,51.1627907
682,OTC_SOON,49.6124031
683,OTC_SOP,38.75968992
684,OTC_SPIE,24.03100775
685,OTC_SPSN,35.65891473
686,OTC_SPX,25.58139535
687,OTC_SRCG,19.37984496
688,OTC_SRG,55.81395349
689,OTC_SSE,41.08527132
690,OTC_SSPG,19.37984496
691,OTC_STAN,49.10714286
692,OTC_STERV,67.44186047
693,OTC_STJ,27.67857143
